Respondent,YearsCodingProf
56867,3-5 years
56868,27-29 years
56869,6-8 years
56871,6-8 years
56872,0-2 years
56874,0-2 years
56876,3-5 years
56877,6-8 years
56878,3-5 years
56879,12-14 years
56882,0-2 years
56883,3-5 years
56884,6-8 years
56886,3-5 years
56887,6-8 years
56888,3-5 years
56892,15-17 years
56893,3-5 years
56894,NA
56895,6-8 years
56897,9-11 years
56898,3-5 years
56899,3-5 years
56900,3-5 years
56901,0-2 years
56902,0-2 years
56904,3-5 years
56905,30 or more years
56907,3-5 years
56911,6-8 years
56914,6-8 years
56915,30 or more years
56916,3-5 years
56917,0-2 years
56918,3-5 years
56919,24-26 years
56920,NA
56921,12-14 years
56922,0-2 years
56925,3-5 years
56926,NA
56927,0-2 years
56928,6-8 years
56929,12-14 years
56930,0-2 years
56931,NA
56932,3-5 years
56934,6-8 years
56935,3-5 years
56936,9-11 years
56937,0-2 years
56938,NA
56939,3-5 years
56941,9-11 years
56942,3-5 years
56943,6-8 years
56944,18-20 years
56945,18-20 years
56946,9-11 years
56947,3-5 years
56948,6-8 years
56949,9-11 years
56950,9-11 years
56952,12-14 years
56954,NA
56955,6-8 years
56956,21-23 years
56957,0-2 years
56958,6-8 years
56959,12-14 years
56960,0-2 years
56961,3-5 years
56962,3-5 years
56963,NA
56964,9-11 years
56965,3-5 years
56966,0-2 years
56967,0-2 years
56969,3-5 years
56970,NA
56971,24-26 years
56972,0-2 years
56973,15-17 years
56974,9-11 years
56978,3-5 years
56979,NA
56981,12-14 years
56982,15-17 years
56983,6-8 years
56984,0-2 years
56985,9-11 years
56987,6-8 years
56989,NA
56990,24-26 years
56991,12-14 years
56993,0-2 years
56995,18-20 years
56996,6-8 years
56998,6-8 years
56999,3-5 years
57000,0-2 years
57001,3-5 years
57003,0-2 years
57004,3-5 years
57006,3-5 years
57007,NA
57010,6-8 years
57013,0-2 years
57014,6-8 years
57015,NA
57016,3-5 years
57017,NA
57018,12-14 years
57019,0-2 years
57020,9-11 years
57021,3-5 years
57022,3-5 years
57023,6-8 years
57024,9-11 years
57027,0-2 years
57029,0-2 years
57031,18-20 years
57032,15-17 years
57034,18-20 years
57037,12-14 years
57038,24-26 years
57039,6-8 years
57040,9-11 years
57042,6-8 years
57045,0-2 years
57047,0-2 years
57048,15-17 years
57050,NA
57052,15-17 years
57053,0-2 years
57054,15-17 years
57055,3-5 years
57056,6-8 years
57057,12-14 years
57058,15-17 years
57059,3-5 years
57061,0-2 years
57062,12-14 years
57063,3-5 years
57064,9-11 years
57065,6-8 years
57067,9-11 years
57068,0-2 years
57069,6-8 years
57070,6-8 years
57071,NA
57072,18-20 years
57074,NA
57075,3-5 years
57076,18-20 years
57077,21-23 years
57078,0-2 years
57079,3-5 years
57080,0-2 years
57082,0-2 years
57083,0-2 years
57084,0-2 years
57085,12-14 years
57086,NA
57087,NA
57088,0-2 years
57091,24-26 years
57093,0-2 years
57094,0-2 years
57095,0-2 years
57096,0-2 years
57097,0-2 years
57099,3-5 years
57100,0-2 years
57101,0-2 years
57102,3-5 years
57104,9-11 years
57107,0-2 years
57108,3-5 years
57110,6-8 years
57112,3-5 years
57115,6-8 years
57116,21-23 years
57117,6-8 years
57118,3-5 years
57119,6-8 years
57120,21-23 years
57121,24-26 years
57122,15-17 years
57123,0-2 years
57126,0-2 years
57127,0-2 years
57128,NA
57129,0-2 years
57131,0-2 years
57134,0-2 years
57135,3-5 years
57136,0-2 years
57137,0-2 years
57138,6-8 years
57139,6-8 years
57140,NA
57141,12-14 years
57142,3-5 years
57143,3-5 years
57144,0-2 years
57145,15-17 years
57146,6-8 years
57147,24-26 years
57148,6-8 years
57149,3-5 years
57150,0-2 years
57151,6-8 years
57152,6-8 years
57153,NA
57154,3-5 years
57155,12-14 years
57157,0-2 years
57158,6-8 years
57160,3-5 years
57161,3-5 years
57162,0-2 years
57164,3-5 years
57165,0-2 years
57168,0-2 years
57172,0-2 years
57173,6-8 years
57174,18-20 years
57175,3-5 years
57176,9-11 years
57177,12-14 years
57178,9-11 years
57179,15-17 years
57180,3-5 years
57181,9-11 years
57183,6-8 years
57184,9-11 years
57185,6-8 years
57186,0-2 years
57188,9-11 years
57189,6-8 years
57190,21-23 years
57193,15-17 years
57194,3-5 years
57195,3-5 years
57198,3-5 years
57202,NA
57203,3-5 years
57205,0-2 years
57208,0-2 years
57209,12-14 years
57210,3-5 years
57211,3-5 years
57212,0-2 years
57213,6-8 years
57214,3-5 years
57215,12-14 years
57216,0-2 years
57217,3-5 years
57218,3-5 years
57219,0-2 years
57220,9-11 years
57221,6-8 years
57222,3-5 years
57223,0-2 years
57225,3-5 years
57226,12-14 years
57227,NA
57230,3-5 years
57231,NA
57232,3-5 years
57233,0-2 years
57234,3-5 years
57235,3-5 years
57236,9-11 years
57237,3-5 years
57238,6-8 years
57240,3-5 years
57242,18-20 years
57243,0-2 years
57244,3-5 years
57245,3-5 years
57246,0-2 years
57247,6-8 years
57248,6-8 years
57249,3-5 years
57252,3-5 years
57253,0-2 years
57255,NA
57256,NA
57257,12-14 years
57258,3-5 years
57259,24-26 years
57260,6-8 years
57261,9-11 years
57262,21-23 years
57263,NA
57264,15-17 years
57265,15-17 years
57267,NA
57268,12-14 years
57269,0-2 years
57271,NA
57275,3-5 years
57277,15-17 years
57279,3-5 years
57280,15-17 years
57281,6-8 years
57282,12-14 years
57283,NA
57284,6-8 years
57285,3-5 years
57286,0-2 years
57287,3-5 years
57291,6-8 years
57292,3-5 years
57294,3-5 years
57295,6-8 years
57296,6-8 years
57297,0-2 years
57298,3-5 years
57300,27-29 years
57301,6-8 years
57302,3-5 years
57303,NA
57305,9-11 years
57306,6-8 years
57307,15-17 years
57310,3-5 years
57311,3-5 years
57312,6-8 years
57313,15-17 years
57314,12-14 years
57315,0-2 years
57317,0-2 years
57319,3-5 years
57320,6-8 years
57321,3-5 years
57322,0-2 years
57324,NA
57326,0-2 years
57327,0-2 years
57328,3-5 years
57330,3-5 years
57331,0-2 years
57332,3-5 years
57333,30 or more years
57334,6-8 years
57335,0-2 years
57336,3-5 years
57338,12-14 years
57339,3-5 years
57340,15-17 years
57341,6-8 years
57342,0-2 years
57343,0-2 years
57345,18-20 years
57346,3-5 years
57347,9-11 years
57348,0-2 years
57352,6-8 years
57357,12-14 years
57358,0-2 years
57359,3-5 years
57360,6-8 years
57364,6-8 years
57365,NA
57366,3-5 years
57367,3-5 years
57368,6-8 years
57369,9-11 years
57370,NA
57371,12-14 years
57373,3-5 years
57374,3-5 years
57375,NA
57377,NA
57378,3-5 years
57379,6-8 years
57381,0-2 years
57382,6-8 years
57383,0-2 years
57384,NA
57386,3-5 years
57389,3-5 years
57390,NA
57391,6-8 years
57392,9-11 years
57393,12-14 years
57394,3-5 years
57395,3-5 years
57396,0-2 years
57397,6-8 years
57398,3-5 years
57399,12-14 years
57400,9-11 years
57401,6-8 years
57402,6-8 years
57403,3-5 years
57404,21-23 years
57405,6-8 years
57406,0-2 years
57408,3-5 years
57409,3-5 years
57410,0-2 years
57411,3-5 years
57412,0-2 years
57413,18-20 years
57414,0-2 years
57415,6-8 years
57416,0-2 years
57417,12-14 years
57418,6-8 years
57419,0-2 years
57421,9-11 years
57422,15-17 years
57424,6-8 years
57425,3-5 years
57426,0-2 years
57427,NA
57428,3-5 years
57429,0-2 years
57430,NA
57432,3-5 years
57434,3-5 years
57435,0-2 years
57438,6-8 years
57439,15-17 years
57442,NA
57446,0-2 years
57447,0-2 years
57448,3-5 years
57449,3-5 years
57450,3-5 years
57451,3-5 years
57452,15-17 years
57453,3-5 years
57454,6-8 years
57460,0-2 years
57461,9-11 years
57464,3-5 years
57465,3-5 years
57466,6-8 years
57467,15-17 years
57469,3-5 years
57471,3-5 years
57472,6-8 years
57473,15-17 years
57475,0-2 years
57476,0-2 years
57478,12-14 years
57480,3-5 years
57481,0-2 years
57482,6-8 years
57483,9-11 years
57484,3-5 years
57485,3-5 years
57486,NA
57488,18-20 years
57489,6-8 years
57490,18-20 years
57491,12-14 years
57492,0-2 years
57493,0-2 years
57494,3-5 years
57496,NA
57498,3-5 years
57501,12-14 years
57502,0-2 years
57504,3-5 years
57506,NA
57507,0-2 years
57509,0-2 years
57510,0-2 years
57511,3-5 years
57512,3-5 years
57514,3-5 years
57515,NA
57518,12-14 years
57519,3-5 years
57520,NA
57523,0-2 years
57524,0-2 years
57525,9-11 years
57526,6-8 years
57527,3-5 years
57528,9-11 years
57529,18-20 years
57530,0-2 years
57531,3-5 years
57533,3-5 years
57534,0-2 years
57535,3-5 years
57537,30 or more years
57539,3-5 years
57540,NA
57542,3-5 years
57543,3-5 years
57544,6-8 years
57545,3-5 years
57546,0-2 years
57547,3-5 years
57549,3-5 years
57551,NA
57552,27-29 years
57553,3-5 years
57554,NA
57555,18-20 years
57557,6-8 years
57558,3-5 years
57559,6-8 years
57560,0-2 years
57561,3-5 years
57562,0-2 years
57563,3-5 years
57564,NA
57565,9-11 years
57568,15-17 years
57570,3-5 years
57572,21-23 years
57573,0-2 years
57574,0-2 years
57575,0-2 years
57576,NA
57578,0-2 years
57579,6-8 years
57583,6-8 years
57585,3-5 years
57586,0-2 years
57587,3-5 years
57588,15-17 years
57592,15-17 years
57593,3-5 years
57594,NA
57595,0-2 years
57597,NA
57599,NA
57601,3-5 years
57602,0-2 years
57603,NA
57605,3-5 years
57607,6-8 years
57608,0-2 years
57610,0-2 years
57612,0-2 years
57615,6-8 years
57616,6-8 years
57617,9-11 years
57618,NA
57619,3-5 years
57620,3-5 years
57622,30 or more years
57623,3-5 years
57624,15-17 years
57625,21-23 years
57627,21-23 years
57628,3-5 years
57629,0-2 years
57630,NA
57633,3-5 years
57635,NA
57637,3-5 years
57639,12-14 years
57640,12-14 years
57642,3-5 years
57643,3-5 years
57644,3-5 years
57645,NA
57646,0-2 years
57647,0-2 years
57648,3-5 years
57649,6-8 years
57650,6-8 years
57652,0-2 years
57653,9-11 years
57654,3-5 years
57656,3-5 years
57657,NA
57658,6-8 years
57659,15-17 years
57660,6-8 years
57661,NA
57662,6-8 years
57663,0-2 years
57665,NA
57666,3-5 years
57667,0-2 years
57668,6-8 years
57670,NA
57672,6-8 years
57673,18-20 years
57674,NA
57676,NA
57677,0-2 years
57678,21-23 years
57679,0-2 years
57680,24-26 years
57682,6-8 years
57683,12-14 years
57686,3-5 years
57688,0-2 years
57689,3-5 years
57690,NA
57691,3-5 years
57692,3-5 years
57693,0-2 years
57694,3-5 years
57695,0-2 years
57696,6-8 years
57699,3-5 years
57700,3-5 years
57701,3-5 years
57702,0-2 years
57703,3-5 years
57704,9-11 years
57705,NA
57706,27-29 years
57709,0-2 years
57710,3-5 years
57711,6-8 years
57712,9-11 years
57713,18-20 years
57714,15-17 years
57715,0-2 years
57716,0-2 years
57718,12-14 years
57719,3-5 years
57720,30 or more years
57722,3-5 years
57724,0-2 years
57725,0-2 years
57726,6-8 years
57727,0-2 years
57729,0-2 years
57730,NA
57731,NA
57732,3-5 years
57733,NA
57734,0-2 years
57735,NA
57737,0-2 years
57738,3-5 years
57739,0-2 years
57740,3-5 years
57742,3-5 years
57744,21-23 years
57745,3-5 years
57746,3-5 years
57747,6-8 years
57748,6-8 years
57749,NA
57750,12-14 years
57751,3-5 years
57752,12-14 years
57754,12-14 years
57755,6-8 years
57757,6-8 years
57758,3-5 years
57759,0-2 years
57760,18-20 years
57762,NA
57763,0-2 years
57764,12-14 years
57765,9-11 years
57767,0-2 years
57768,0-2 years
57771,NA
57772,3-5 years
57773,3-5 years
57774,18-20 years
57775,24-26 years
57776,3-5 years
57778,0-2 years
57779,NA
57780,NA
57781,0-2 years
57783,0-2 years
57784,0-2 years
57788,6-8 years
57791,3-5 years
57792,6-8 years
57794,9-11 years
57795,0-2 years
57796,6-8 years
57797,12-14 years
57798,NA
57801,NA
57803,3-5 years
57808,0-2 years
57810,NA
57811,3-5 years
57812,6-8 years
57814,0-2 years
57815,12-14 years
57817,0-2 years
57818,15-17 years
57819,9-11 years
57821,12-14 years
57822,0-2 years
57823,18-20 years
57825,24-26 years
57826,3-5 years
57827,3-5 years
57828,3-5 years
57829,6-8 years
57831,9-11 years
57832,NA
57833,6-8 years
57834,24-26 years
57835,0-2 years
57837,24-26 years
57838,NA
57839,0-2 years
57842,27-29 years
57843,30 or more years
57844,3-5 years
57846,3-5 years
57847,6-8 years
57849,0-2 years
57850,3-5 years
57852,3-5 years
57853,0-2 years
57854,9-11 years
57855,NA
57856,6-8 years
57857,3-5 years
57859,3-5 years
57861,3-5 years
57863,3-5 years
57865,NA
57866,15-17 years
57868,3-5 years
57869,0-2 years
57870,30 or more years
57871,0-2 years
57872,3-5 years
57873,0-2 years
57875,9-11 years
57876,3-5 years
57880,9-11 years
57881,0-2 years
57883,0-2 years
57884,6-8 years
57886,6-8 years
57887,3-5 years
57888,6-8 years
57889,6-8 years
57890,NA
57893,12-14 years
57894,NA
57895,21-23 years
57896,3-5 years
57897,0-2 years
57898,9-11 years
57899,6-8 years
57900,0-2 years
57901,30 or more years
57902,24-26 years
57903,6-8 years
57904,3-5 years
57905,12-14 years
57906,3-5 years
57907,NA
57909,18-20 years
57913,0-2 years
57915,0-2 years
57916,15-17 years
57917,0-2 years
57920,NA
57922,0-2 years
57924,0-2 years
57925,3-5 years
57926,0-2 years
57927,NA
57928,0-2 years
57929,9-11 years
57930,3-5 years
57933,NA
57934,3-5 years
57935,3-5 years
57936,0-2 years
57937,30 or more years
57938,18-20 years
57939,9-11 years
57941,3-5 years
57943,15-17 years
57944,3-5 years
57946,3-5 years
57948,0-2 years
57950,15-17 years
57953,0-2 years
57954,NA
57955,NA
57956,3-5 years
57957,3-5 years
57958,3-5 years
57959,24-26 years
57960,12-14 years
57962,3-5 years
57963,6-8 years
57964,NA
57965,NA
57966,3-5 years
57967,NA
57968,0-2 years
57969,3-5 years
57970,9-11 years
57971,27-29 years
57972,NA
57974,6-8 years
57975,0-2 years
57977,3-5 years
57978,NA
57979,3-5 years
57981,3-5 years
57982,9-11 years
57983,9-11 years
57984,3-5 years
57986,24-26 years
57987,9-11 years
57989,0-2 years
57990,15-17 years
57991,3-5 years
57992,18-20 years
57993,18-20 years
57994,30 or more years
57995,0-2 years
57996,24-26 years
57997,12-14 years
58001,0-2 years
58002,9-11 years
58003,3-5 years
58004,6-8 years
58005,18-20 years
58006,18-20 years
58007,3-5 years
58008,12-14 years
58010,NA
58015,18-20 years
58016,3-5 years
58017,NA
58018,9-11 years
58019,6-8 years
58020,3-5 years
58021,12-14 years
58022,15-17 years
58024,3-5 years
58025,6-8 years
58026,NA
58027,0-2 years
58028,0-2 years
58029,3-5 years
58033,9-11 years
58034,3-5 years
58036,6-8 years
58037,3-5 years
58038,3-5 years
58039,3-5 years
58040,NA
58041,30 or more years
58042,6-8 years
58043,9-11 years
58044,NA
58045,0-2 years
58046,0-2 years
58047,6-8 years
58048,15-17 years
58050,0-2 years
58051,3-5 years
58052,3-5 years
58053,3-5 years
58054,30 or more years
58055,0-2 years
58057,0-2 years
58058,3-5 years
58059,9-11 years
58060,3-5 years
58061,6-8 years
58062,12-14 years
58063,3-5 years
58064,18-20 years
58065,3-5 years
58067,0-2 years
58070,12-14 years
58071,6-8 years
58072,NA
58073,0-2 years
58076,6-8 years
58077,3-5 years
58078,3-5 years
58079,3-5 years
58080,0-2 years
58081,NA
58082,0-2 years
58084,0-2 years
58085,9-11 years
58086,NA
58088,18-20 years
58089,15-17 years
58090,0-2 years
58091,3-5 years
58092,NA
58095,3-5 years
58096,30 or more years
58097,3-5 years
58098,0-2 years
58099,0-2 years
58101,21-23 years
58102,9-11 years
58103,12-14 years
58104,3-5 years
58105,0-2 years
58106,3-5 years
58110,3-5 years
58111,9-11 years
58112,9-11 years
58113,9-11 years
58115,0-2 years
58116,0-2 years
58117,9-11 years
58119,6-8 years
58120,3-5 years
58121,0-2 years
58122,6-8 years
58123,0-2 years
58124,3-5 years
58125,NA
58127,0-2 years
58128,9-11 years
58129,24-26 years
58130,0-2 years
58131,6-8 years
58133,0-2 years
58135,21-23 years
58136,6-8 years
58138,6-8 years
58139,3-5 years
58142,9-11 years
58144,18-20 years
58146,18-20 years
58147,3-5 years
58149,3-5 years
58150,NA
58151,3-5 years
58152,6-8 years
58154,3-5 years
58155,21-23 years
58157,3-5 years
58159,3-5 years
58160,0-2 years
58161,NA
58162,9-11 years
58163,NA
58164,NA
58165,3-5 years
58167,NA
58170,3-5 years
58172,3-5 years
58173,12-14 years
58175,0-2 years
58176,9-11 years
58177,3-5 years
58178,6-8 years
58179,15-17 years
58180,3-5 years
58181,12-14 years
58182,0-2 years
58183,6-8 years
58184,6-8 years
58185,NA
58186,9-11 years
58187,NA
58188,3-5 years
58189,9-11 years
58191,NA
58192,NA
58195,12-14 years
58196,24-26 years
58197,NA
58198,3-5 years
58199,0-2 years
58200,9-11 years
58203,6-8 years
58204,3-5 years
58206,NA
58211,9-11 years
58212,0-2 years
58213,18-20 years
58214,6-8 years
58215,3-5 years
58216,15-17 years
58217,27-29 years
58219,3-5 years
58220,NA
58221,3-5 years
58222,0-2 years
58225,3-5 years
58226,3-5 years
58228,12-14 years
58229,0-2 years
58230,15-17 years
58231,9-11 years
58233,15-17 years
58234,0-2 years
58235,15-17 years
58236,24-26 years
58237,18-20 years
58240,6-8 years
58242,0-2 years
58243,0-2 years
58246,0-2 years
58247,3-5 years
58248,3-5 years
58249,6-8 years
58250,0-2 years
58251,18-20 years
58254,NA
58255,0-2 years
58257,3-5 years
58259,0-2 years
58261,24-26 years
58262,24-26 years
58264,0-2 years
58266,3-5 years
58272,9-11 years
58276,NA
58278,NA
58279,NA
58280,18-20 years
58281,6-8 years
58283,9-11 years
58284,3-5 years
58285,3-5 years
58287,9-11 years
58288,0-2 years
58289,0-2 years
58290,0-2 years
58291,0-2 years
58293,9-11 years
58294,6-8 years
58295,3-5 years
58296,3-5 years
58297,NA
58298,12-14 years
58299,9-11 years
58300,3-5 years
58301,NA
58302,9-11 years
58303,0-2 years
58304,NA
58305,3-5 years
58307,3-5 years
58309,3-5 years
58310,15-17 years
58311,0-2 years
58312,NA
58313,0-2 years
58314,0-2 years
58317,NA
58318,3-5 years
58319,3-5 years
58321,6-8 years
58322,3-5 years
58324,3-5 years
58325,3-5 years
58326,3-5 years
58327,0-2 years
58328,21-23 years
58329,3-5 years
58331,3-5 years
58333,3-5 years
58334,3-5 years
58335,9-11 years
58336,6-8 years
58337,3-5 years
58339,3-5 years
58340,0-2 years
58343,6-8 years
58344,0-2 years
58345,3-5 years
58348,NA
58350,9-11 years
58351,9-11 years
58352,0-2 years
58353,21-23 years
58354,18-20 years
58357,3-5 years
58359,9-11 years
58362,3-5 years
58363,6-8 years
